------- AERODYN15 BLADE DEFINITION INPUT FILE -------------------------------------
Generated with OpenFAST_IO
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID       BlCb        BlCenBn      BlCenBt
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)        (-)         (m)             (m)
 3.073366620367600e+01 -7.776796222287509e-01 -7.804524203794366e-02 -4.068465131332242e+00 -4.402325835116763e-01  1.191797831800503e+00       21  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 3.227034951385979e+01 -8.926481296467960e-01 -7.729351880929441e-02 -4.524985324939941e+00 -7.841910664604712e-01  1.144660214071432e+00       22  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 3.380703282404359e+01 -1.020149255666751e+00 -7.150401135210477e-02 -5.060867474586761e+00 -1.217328315371660e+00  1.085817816466266e+00       23  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 3.534371613422739e+01 -1.163762057939187e+00 -6.214204898105086e-02 -5.655523720333231e+00 -1.579704369753044e+00  1.040860011033843e+00       24  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 3.688039944441118e+01 -1.323021239640378e+00 -5.008846885325318e-02 -6.333075397968780e+00 -1.970182716367108e+00  1.008237595508432e+00       25  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 3.841708275459499e+01 -1.502779232606529e+00 -3.692706997348464e-02 -7.142990293280893e+00 -2.304432200386706e+00  9.708079456849863e-01       26  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 3.995376606477879e+01 -1.705182117763895e+00 -2.514779218230216e-02 -8.061964591289636e+00 -2.451674205694108e+00  9.101824158132596e-01       27  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 4.149044937496259e+01 -1.933800401139242e+00 -1.581499621609718e-02 -9.140864484437037e+00 -2.507744185744052e+00  7.720285702751871e-01       28  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 4.302713268514638e+01 -2.193424115762098e+00 -9.279377213561004e-03 -1.061611532077841e+01 -2.544786234027700e+00  5.588819438017559e-01       29  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 4.456381599533018e+01 -2.500000000000000e+00  3.327349817408185e-17 -1.150800973092132e+01 -2.558163904744576e+00  2.999999999999998e-01       30  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
